,name,networth,rank,year
655,Orlando Bravo,4.4,655,2021
658,Mark Cuban,4.4,655,2021
662,Michael Minhong Yu,4.4,655,2021
666,Thomas Hagen,4.3,665,2021
668,Rakesh Jhunjhunwala,4.3,665,2021
670,Eric Lefkofsky,4.3,665,2021
673,Antony Ressler,4.3,665,2021
676,Steven Udvar-Hazy,4.3,665,2021
677,Takao Yasuda,4.3,665,2021
678,Ye Chenghai & family,4.3,665,2021
680,Rick Caruso,4.2,680,2021
681,Scott Cook,4.2,680,2021
685,Fu Liquan & family,4.2,680,2021
687,Tom Golisano,4.2,680,2021
690,Ray Lee Hunt,4.2,680,2021
698,Leonard Stern,4.2,680,2021
704,Margot Birmingham Perot,4.1,705,2021
705,David Bonderman,4.1,705,2021
706,Matthew Calkins,4.1,705,2021
709,Dan Friedkin,4.1,705,2021
712,Hong Ra-hee,4.1,705,2021
715,Daniel Kretinsky,4.1,705,2021
717,Janice McNair,4.1,705,2021
718,John Morris,4.1,705,2021
719,Gabe Newell,4.1,705,2021
722,Jon Stryker,4.1,705,2021
723,Suh Kyung-bae,4.1,705,2021
725,Samuel Yin,4.1,705,2021
730,Igor Kesaev,4.0,727,2021
740,Ajay Piramal,4.0,727,2021
742,Trevor Rees-Jones,4.0,727,2021
743,Ira Rennert,4.0,727,2021
753,Rafael Del Pino,3.9,752,2021
755,Rakesh Gangwal,3.9,752,2021
757,Jeff Greene,3.9,752,2021
758,Johnelle Hunt,3.9,752,2021
761,"Stephen Mandel, Jr.",3.9,752,2021
765,Robert Rowling,3.9,752,2021
768,Ben Silbermann,3.9,752,2021
774,Euisun Chung,3.8,775,2021
775,Daniel D'Aniello,3.8,775,2021
776,Oleg Deripaska,3.8,775,2021
778,Feng Hailiang,3.8,775,2021
779,John Gandel,3.8,775,2021
780,Gao Dekang & family,3.8,775,2021
781,Jaime Gilinski Bacal,3.8,775,2021
784,"Amos Hostetter, Jr.",3.8,775,2021
787,Aerin Lauder,3.8,775,2021
800,Donald Sterling,3.8,775,2021
802,Don Vultaggio & family,3.8,775,2021
807,Marian Ilitch,3.7,807,2021
811,Mary Alice Dorrance Malone,3.7,807,2021
812,Michael Milken,3.7,807,2021
813,Ronald Perelman,3.7,807,2021
815,J. Joe Ricketts & family,3.7,807,2021
817,Jeff Rothschild,3.7,807,2021
818,David Rubenstein,3.7,807,2021
820,Steven Spielberg,3.7,807,2021
821,Barry Sternlicht,3.7,807,2021
822,Mark Stevens,3.7,807,2021
824,Vincent Viola,3.7,807,2021
826,Wang Roger,3.7,807,2021
832,Leonid Boguslavsky,3.6,831,2021
833,"Austen Cargill, II.",3.6,831,2021
836,Steve Conine,3.6,831,2021
838,S. Curtis Johnson,3.6,831,2021
839,Helen Johnson-Leipold,3.6,831,2021
840,Daryl Katz,3.6,831,2021
841,Peter Kellogg,3.6,831,2021
842,Samuel Tak Lee,3.6,831,2021
844,Marianne Liebmann,3.6,831,2021
845,Winifred J. Marquart,3.6,831,2021
846,Daniel Och,3.6,831,2021
847,Anthony Pritzker,3.6,831,2021
848,Rodger Riney & family,3.6,831,2021
849,Niraj Shah,3.6,831,2021
853,Richard Tsai,3.6,831,2021
857,Zhang Hongwei,3.6,831,2021
858,Andrej Babis,3.5,859,2021
860,Hubert Burda,3.5,859,2021
861,Chuchat Petaumpai & Daonapa Petampai,3.5,859,2021
862,Charles Cohen,3.5,859,2021
863,David Filo,3.5,859,2021
864,Sergei Galitsky,3.5,859,2021
867,Martha Ingram & family,3.5,859,2021
868,H. Fisk Johnson,3.5,859,2021
870,Lim Wee Chai,3.5,859,2021
875,N.R. Narayana Murthy,3.5,859,2021
876,John Paulson,3.5,859,2021
877,J.B. Pritzker,3.5,859,2021
878,Michael Rubin,3.5,859,2021
880,Thomas Secunda,3.5,859,2021
881,Vivek Chaand Sehgal,3.5,859,2021
883,Leena Tewari,3.5,859,2021
885,Romesh T. Wadhwani,3.5,859,2021
893,"William Conway, Jr.",3.4,891,2021
894,Jim Davis,3.4,891,2021
896,Ennio Doris & family,3.4,891,2021
898,Alexander Frolov,3.4,891,2021
899,Fiona Geminder,3.4,891,2021
901,Viktor Kharitonin,3.4,891,2021
903,Chris Larsen,3.4,891,2021
904,Angela Leong,3.4,891,2021
906,John Middleton,3.4,891,2021
908,Arturo Moreno,3.4,891,2021
